epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.352,1.44397,1.23237,1.35824,0.62887,0.51444,0.53113,0.32873,1.42236,0.95753,1.25967,0.0671191,0.00033213,0.00033213
2,546.907,1.37509,0.95306,1.31953,0.60942,0.53709,0.55302,0.38345,1.17297,1.14317,1.18654,0.0341125,0.000658875,0.000658875
3,765.488,1.29032,0.8614,1.28344,0.57095,0.66367,0.59667,0.42746,1.02809,0.73795,1.10439,0.00109936,0.00097902,0.00097902
4,971.546,1.27624,0.84741,1.27314,0.58756,0.66907,0.60724,0.43563,1.00655,0.747,1.10354,0.0009703,0.0009703,0.0009703
5,1179.67,1.22786,0.80645,1.25163,0.62766,0.6856,0.62001,0.45084,0.97571,0.73661,1.10971,0.0009604,0.0009604,0.0009604
6,1389.48,1.20694,0.7745,1.23776,0.64548,0.68711,0.61782,0.45546,0.95039,0.68929,1.07563,0.0009505,0.0009505,0.0009505
7,1591.08,1.18142,0.77136,1.22898,0.64899,0.70301,0.64768,0.46373,0.95127,0.65487,1.08203,0.0009406,0.0009406,0.0009406
8,1797,1.16179,0.7445,1.21235,0.62981,0.71533,0.63126,0.46442,0.9408,0.6253,1.08752,0.0009307,0.0009307,0.0009307
9,1992.95,1.13199,0.72156,1.19651,0.63856,0.73673,0.63638,0.46384,0.94695,0.65099,1.09576,0.0009208,0.0009208,0.0009208
10,2191.37,1.15236,0.72073,1.21087,0.628,0.70842,0.63667,0.46801,0.92679,0.65308,1.06963,0.0009109,0.0009109,0.0009109
11,2386.45,1.10449,0.70381,1.18839,0.63975,0.71954,0.64823,0.46525,0.93312,0.62768,1.07222,0.000901,0.000901,0.000901
12,2582.78,1.11226,0.70332,1.19467,0.61142,0.68409,0.66319,0.45963,1.01258,0.68014,1.12896,0.0008911,0.0008911,0.0008911
13,2794.61,1.09254,0.68695,1.17637,0.63078,0.72583,0.6318,0.46433,0.92101,0.64039,1.07828,0.0008812,0.0008812,0.0008812
14,3026,1.08574,0.68937,1.1828,0.61455,0.72131,0.6593,0.47657,0.91443,0.62998,1.09008,0.0008713,0.0008713,0.0008713
15,3286.49,1.06267,0.66493,1.16678,0.66327,0.70961,0.67185,0.49372,0.91626,0.60903,1.06541,0.0008614,0.0008614,0.0008614
16,3549.24,1.08297,0.68191,1.17558,0.68921,0.71112,0.6654,0.48463,0.90958,0.59839,1.08548,0.0008515,0.0008515,0.0008515
17,3802.21,1.08356,0.68269,1.18297,0.66196,0.69911,0.64503,0.47648,0.90586,0.60296,1.06387,0.0008416,0.0008416,0.0008416
18,4038.91,1.05897,0.66348,1.15872,0.65764,0.73274,0.66547,0.48671,0.9395,0.61774,1.06201,0.0008317,0.0008317,0.0008317
19,4246.46,1.06428,0.66445,1.16626,0.67361,0.73041,0.67604,0.48669,0.91863,0.5899,1.08067,0.0008218,0.0008218,0.0008218
20,4450.76,1.03531,0.64619,1.15969,0.69786,0.72043,0.69191,0.49032,0.89266,0.57047,1.05826,0.0008119,0.0008119,0.0008119
21,4650.43,1.02964,0.64511,1.15658,0.64624,0.71512,0.64448,0.48854,0.88663,0.57779,1.06805,0.000802,0.000802,0.000802
22,4850.13,1.03324,0.64167,1.1499,0.65649,0.70031,0.67129,0.4837,0.90962,0.57939,1.06657,0.0007921,0.0007921,0.0007921
23,5066.81,1.01585,0.63746,1.14894,0.66846,0.72798,0.67194,0.49385,0.90524,0.5662,1.06888,0.0007822,0.0007822,0.0007822
24,5281.82,1.00603,0.62521,1.14121,0.66689,0.74324,0.67344,0.49195,0.91196,0.57926,1.07512,0.0007723,0.0007723,0.0007723
25,5493.13,1.00207,0.62747,1.14232,0.66979,0.71502,0.6707,0.48521,0.89822,0.56801,1.06973,0.0007624,0.0007624,0.0007624
26,5703.59,0.99923,0.617,1.13357,0.67904,0.73919,0.6766,0.4961,0.92111,0.59265,1.09683,0.0007525,0.0007525,0.0007525
27,5926.89,1.00024,0.61877,1.14531,0.66909,0.74434,0.67831,0.49486,0.89957,0.57166,1.0729,0.0007426,0.0007426,0.0007426
28,6139.67,0.99352,0.61357,1.13495,0.67446,0.71938,0.67113,0.49258,0.91792,0.57316,1.08662,0.0007327,0.0007327,0.0007327
29,6354.89,0.97764,0.6042,1.12586,0.66628,0.72504,0.68054,0.49985,0.89028,0.57292,1.0709,0.0007228,0.0007228,0.0007228
30,6566.98,0.98202,0.59993,1.12681,0.6892,0.747,0.67854,0.49119,0.87866,0.54785,1.0556,0.0007129,0.0007129,0.0007129
31,6788.89,0.96435,0.59018,1.11675,0.6923,0.72006,0.68967,0.49873,0.87536,0.53615,1.06456,0.000703,0.000703,0.000703
