epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.82,1.45681,1.65728,1.38154,0.62215,0.61715,0.5667,0.37547,1.22381,1.13341,1.21635,0.000553661,0.000553661,0.000553661
2,472.389,1.37608,1.05973,1.31992,0.55036,0.58345,0.56364,0.39275,1.14694,1.02581,1.17652,0.00108716,0.00108716,0.00108716
3,716.794,1.32437,0.9571,1.3003,0.63227,0.67089,0.6221,0.43549,1.05646,0.82449,1.13607,0.00159846,0.00159846,0.00159846
4,961.838,1.30565,0.89593,1.28214,0.64674,0.67209,0.60896,0.43483,1.00377,0.76953,1.11389,0.00156708,0.00156708,0.00156708
5,1242.11,1.24133,0.82819,1.25072,0.60282,0.65707,0.62562,0.44152,0.9994,0.75441,1.10928,0.00153377,0.00153377,0.00153377
6,1517.72,1.21274,0.80065,1.22991,0.64881,0.70031,0.64268,0.44321,1.02396,0.69148,1.106,0.00150047,0.00150047,0.00150047
7,1790.56,1.18476,0.7872,1.22689,0.65622,0.73965,0.64046,0.44913,0.95251,0.70642,1.08166,0.00146716,0.00146716,0.00146716
8,2065.03,1.15937,0.74897,1.20668,0.63831,0.70151,0.65007,0.46182,0.94163,0.64808,1.09029,0.00143385,0.00143385,0.00143385
9,2340.01,1.13084,0.7235,1.18666,0.64151,0.74896,0.64594,0.47108,0.9498,0.63733,1.07555,0.00140055,0.00140055,0.00140055
10,2617.83,1.1233,0.71327,1.18928,0.70907,0.63274,0.65598,0.4623,0.95198,0.64044,1.08188,0.00136724,0.00136724,0.00136724
11,2885.73,1.10878,0.70707,1.18365,0.65316,0.71923,0.65798,0.46889,0.93779,0.63239,1.06585,0.00133393,0.00133393,0.00133393
12,3151.36,1.11055,0.70388,1.18424,0.69707,0.64896,0.64822,0.46391,0.91112,0.62639,1.05751,0.00130063,0.00130063,0.00130063
13,3414.02,1.08649,0.68485,1.16157,0.64651,0.72853,0.65002,0.47418,0.94138,0.64957,1.06813,0.00126732,0.00126732,0.00126732
14,3677.52,1.09233,0.68638,1.17889,0.67781,0.73004,0.66289,0.48786,0.89477,0.59293,1.06331,0.00123401,0.00123401,0.00123401
15,3944.27,1.06556,0.6645,1.16479,0.67094,0.74355,0.66729,0.49512,0.88799,0.5969,1.04982,0.00120071,0.00120071,0.00120071
16,4212.24,1.06383,0.66792,1.16714,0.65745,0.73545,0.65454,0.48281,0.9103,0.58869,1.07165,0.0011674,0.0011674,0.0011674
17,4485.82,1.06042,0.66682,1.16506,0.62876,0.70031,0.63157,0.46349,0.96884,0.63177,1.10231,0.00113409,0.00113409,0.00113409
18,4702.61,1.04358,0.65301,1.14668,0.62575,0.73815,0.63948,0.4741,0.90846,0.6208,1.05866,0.00110079,0.00110079,0.00110079
19,4907.78,1.04034,0.64555,1.14608,0.65384,0.7452,0.66748,0.48666,0.90429,0.57713,1.06863,0.00106748,0.00106748,0.00106748
20,5153.04,1.01967,0.63252,1.14433,0.6803,0.72583,0.67253,0.48668,0.91993,0.57498,1.07864,0.00103417,0.00103417,0.00103417
21,5372.17,1.0109,0.62866,1.14074,0.659,0.74275,0.6491,0.49064,0.88827,0.57143,1.07415,0.00100087,0.00100087,0.00100087
22,5624.57,1.0092,0.62162,1.13639,0.68059,0.74355,0.67301,0.49651,0.8694,0.54511,1.05079,0.00096756,0.00096756,0.00096756
23,5879.95,1.00472,0.62093,1.13815,0.68521,0.71622,0.66743,0.4865,0.91053,0.56123,1.06655,0.000934253,0.000934253,0.000934253
24,6108.9,0.99104,0.60935,1.12632,0.68788,0.74205,0.68094,0.49439,0.91897,0.57494,1.07171,0.000900947,0.000900947,0.000900947
25,6338.83,0.98628,0.6041,1.12905,0.66354,0.70756,0.66515,0.49714,0.86585,0.53251,1.05112,0.00086764,0.00086764,0.00086764
26,6589.39,0.96732,0.59688,1.11422,0.63837,0.72703,0.654,0.49263,0.89456,0.54863,1.07315,0.000834333,0.000834333,0.000834333
27,6841.14,0.97568,0.59586,1.12423,0.66622,0.76501,0.66675,0.49455,0.87178,0.53779,1.05737,0.000801027,0.000801027,0.000801027
28,7086.01,0.96508,0.58951,1.11437,0.6763,0.75627,0.67596,0.49839,0.86857,0.52939,1.05266,0.00076772,0.00076772,0.00076772
29,7353.93,0.94987,0.58142,1.10315,0.67746,0.75826,0.67564,0.49998,0.86867,0.52573,1.05325,0.000734414,0.000734414,0.000734414
30,7637.51,0.95795,0.57576,1.1093,0.6777,0.75709,0.68129,0.50156,0.86497,0.52688,1.05912,0.000701107,0.000701107,0.000701107
31,7913.69,0.93265,0.56836,1.10051,0.68943,0.72463,0.68543,0.5044,0.86185,0.52202,1.0586,0.0006678,0.0006678,0.0006678
32,8177.73,0.9442,0.57075,1.10602,0.70015,0.74595,0.69475,0.51314,0.8775,0.527,1.05846,0.000634494,0.000634494,0.000634494
33,8474.65,0.93469,0.56485,1.09812,0.7135,0.73124,0.68942,0.50907,0.86959,0.52521,1.06027,0.000601187,0.000601187,0.000601187
34,8743.7,0.92474,0.56265,1.09123,0.6799,0.74324,0.67837,0.50724,0.861,0.51929,1.04661,0.00056788,0.00056788,0.00056788
35,8985.92,0.91546,0.55834,1.08358,0.67911,0.75405,0.68472,0.51018,0.85449,0.51195,1.04731,0.000534574,0.000534574,0.000534574
36,9259.3,0.91287,0.55015,1.08667,0.6934,0.73934,0.69188,0.51339,0.87904,0.51765,1.05477,0.000501267,0.000501267,0.000501267
37,9488.3,0.8978,0.54561,1.08276,0.70372,0.74745,0.69472,0.51576,0.85569,0.5098,1.04709,0.00046796,0.00046796,0.00046796
38,9715.86,0.90656,0.54986,1.08595,0.71271,0.73948,0.69539,0.51715,0.85633,0.50954,1.04416,0.000434654,0.000434654,0.000434654
39,9932.11,0.89351,0.53697,1.07781,0.70673,0.73514,0.70112,0.51885,0.85567,0.50245,1.04399,0.000401347,0.000401347,0.000401347
40,10151.5,0.88651,0.53097,1.07249,0.71719,0.72703,0.70257,0.52078,0.85626,0.49402,1.0447,0.00036804,0.00036804,0.00036804
41,10392.5,0.84427,0.50626,1.04081,0.67689,0.72951,0.68205,0.51294,0.86177,0.52303,1.05207,0.000334734,0.000334734,0.000334734
42,10601.9,0.82916,0.49137,1.04036,0.71174,0.73735,0.6934,0.51716,0.8415,0.50107,1.04512,0.000301427,0.000301427,0.000301427
43,10833.8,0.81909,0.48354,1.02949,0.72727,0.73784,0.70021,0.51919,0.84078,0.48438,1.04404,0.00026812,0.00026812,0.00026812
44,11106,0.80334,0.47419,1.01597,0.67528,0.75405,0.70155,0.52103,0.84589,0.49275,1.03981,0.000234814,0.000234814,0.000234814
45,11351.6,0.78838,0.46468,1.01032,0.71714,0.7434,0.71071,0.52488,0.84764,0.48791,1.03801,0.000201507,0.000201507,0.000201507
46,11558.3,0.79817,0.46165,1.01019,0.70879,0.73929,0.70471,0.52296,0.84821,0.48726,1.04151,0.0001682,0.0001682,0.0001682
47,11810.7,0.7882,0.45866,1.01053,0.71337,0.75977,0.71223,0.52581,0.84242,0.47925,1.03856,0.000134894,0.000134894,0.000134894
48,12027.5,0.77531,0.4503,1.00536,0.73355,0.74475,0.72272,0.53396,0.8346,0.47022,1.03529,0.000101587,0.000101587,0.000101587
49,12256.6,0.76874,0.44699,1.00659,0.7168,0.76518,0.72064,0.53316,0.83368,0.46813,1.03409,6.82803e-05,6.82803e-05,6.82803e-05
50,12485.2,0.75977,0.43821,0.99336,0.71372,0.76097,0.72096,0.53375,0.83342,0.46755,1.03529,3.49737e-05,3.49737e-05,3.49737e-05
